strain,plate,fraction,CFU
strain_1,nonselective,0.0000005,104
strain_1,nonselective,0.0000005,220
strain_1,nonselective,0.0000005,144
strain_1,nonselective,0.0000005,196
strain_1,nonselective,0.0000005,177
strain_1,nonselective,0.0000005,143
strain_1,selective,1,492
strain_1,selective,1,382
strain_1,selective,1,302
strain_1,selective,1,346
strain_1,selective,1,441
strain_1,selective,1,862
strain_1,selective,1,407
strain_1,selective,1,287
strain_1,selective,1,174
strain_1,selective,1,527
strain_1,selective,1,1478
strain_1,selective,1,302
strain_2,nonselective,0.0000005,173
strain_2,nonselective,0.0000005,132
strain_2,nonselective,0.0000005,175
strain_2,nonselective,0.0000005,147
strain_2,nonselective,0.0000005,130
strain_2,nonselective,0.0000005,107
strain_2,selective,1,32
strain_2,selective,1,19
strain_2,selective,1,14
strain_2,selective,1,26
strain_2,selective,1,30
strain_2,selective,1,39
strain_2,selective,1,41
strain_2,selective,1,38
strain_2,selective,1,41
strain_2,selective,1,20
strain_2,selective,1,28
strain_2,selective,1,24
