well	medium	clone	aaRS	AA	plasmid
A1	none	none	none	none	none
A2	LB	1	5HTPRS	none	pFRY
A3	LB	1	NitroYRS	none	pFRY
A4	LB	2	5HTPRS	none	pFRY
A5	LB	2	NitroYRS	none	pFRY
A6	LB	3	5HTPRS	none	pFRY
A7	LB	3	NitroYRS	none	pFRY
A8	LB	1	5HTPRS	none	pFRYC
A9	LB	1	NitroYRS	none	pFRYC
A10	LB	2	5HTPRS	none	pFRYC
A11	LB	2	NitroYRS	none	pFRYC
A12	LB	3	5HTPRS	none	pFRYC
B1	LB	3	NitroYRS	none	pFRYC
B2	LB	1	5HTPRS	5HTP	pFRY
B3	LB	1	NitroYRS	NitroY	pFRY
B4	LB	2	5HTPRS	5HTP	pFRY
B5	LB	2	NitroYRS	NitroY	pFRY
B6	LB	3	5HTPRS	5HTP	pFRY
B7	LB	3	NitroYRS	NitroY	pFRY
B8	LB	1	5HTPRS	5HTP	pFRYC
B9	LB	1	NitroYRS	NitroY	pFRYC
B10	LB	2	5HTPRS	5HTP	pFRYC
B11	LB	2	NitroYRS	NitroY	pFRYC
B12	LB	3	5HTPRS	5HTP	pFRYC
C1	LB	3	NitroYRS	NitroY	pFRYC
C2	LB	none	none	5HTP	none
C3	LB	none	none	NitroY	none
C4	LB	none	none	none	none
C5	none	none	none	none	none
C6	LB	1	5HTPRS	none	pFRY
C7	LB	1	NitroYRS	none	pFRY
C8	LB	2	5HTPRS	none	pFRY
C9	LB	2	NitroYRS	none	pFRY
C10	LB	3	5HTPRS	none	pFRY
C11	LB	3	NitroYRS	none	pFRY
C12	LB	1	5HTPRS	none	pFRYC
D1	LB	1	NitroYRS	none	pFRYC
D2	LB	2	5HTPRS	none	pFRYC
D3	LB	2	NitroYRS	none	pFRYC
D4	LB	3	5HTPRS	none	pFRYC
D5	LB	3	NitroYRS	none	pFRYC
D6	LB	1	5HTPRS	5HTP	pFRY
D7	LB	1	NitroYRS	NitroY	pFRY
D8	LB	2	5HTPRS	5HTP	pFRY
D9	LB	2	NitroYRS	NitroY	pFRY
D10	LB	3	5HTPRS	5HTP	pFRY
D11	LB	3	NitroYRS	NitroY	pFRY
D12	LB	1	5HTPRS	5HTP	pFRYC
E1	LB	1	NitroYRS	NitroY	pFRYC
E2	LB	2	5HTPRS	5HTP	pFRYC
E3	LB	2	NitroYRS	NitroY	pFRYC
E4	LB	3	5HTPRS	5HTP	pFRYC
E5	LB	3	NitroYRS	NitroY	pFRYC
E6	LB	none	none	5HTP	none
E7	LB	none	none	NitroY	none
E8	LB	none	none	none	none
E9	none	none	none	none	none
E10	LB	1	5HTPRS	none	pFRY
E11	LB	1	NitroYRS	none	pFRY
E12	LB	2	5HTPRS	none	pFRY
F1	LB	2	NitroYRS	none	pFRY
F2	LB	3	5HTPRS	none	pFRY
F3	LB	3	NitroYRS	none	pFRY
F4	LB	1	5HTPRS	none	pFRYC
F5	LB	1	NitroYRS	none	pFRYC
F6	LB	2	5HTPRS	none	pFRYC
F7	LB	2	NitroYRS	none	pFRYC
F8	LB	3	5HTPRS	none	pFRYC
F9	LB	3	NitroYRS	none	pFRYC
F10	LB	1	5HTPRS	5HTP	pFRY
F11	LB	1	NitroYRS	NitroY	pFRY
F12	LB	2	5HTPRS	5HTP	pFRY
G1	LB	2	NitroYRS	NitroY	pFRY
G2	LB	3	5HTPRS	5HTP	pFRY
G3	LB	3	NitroYRS	NitroY	pFRY
G4	LB	1	5HTPRS	5HTP	pFRYC
G5	LB	1	NitroYRS	NitroY	pFRYC
G6	LB	2	5HTPRS	5HTP	pFRYC
G7	LB	2	NitroYRS	NitroY	pFRYC
G8	LB	3	5HTPRS	5HTP	pFRYC
G9	LB	3	NitroYRS	NitroY	pFRYC
G10	LB	none	none	5HTP	none
G11	LB	none	none	NitroY	none
G12	LB	none	none	none	none
H1	LB	none	none	none	none
H2	LB	none	none	none	none
H3	LB	none	none	none	none
H4	LB	none	none	none	none
H5	LB	none	none	none	none
H6	LB	none	none	none	none
H7	LB	none	none	none	none
H8	LB	none	none	none	none
H9	LB	none	none	none	none
H10	LB	none	none	none	none
H11	LB	none	none	none	none
H12	LB	none	none	none	none
